symbol  |  code
0x00    |  00
0x01    |  01
0x02    |  100
0x03    |  1010
0x04    |  11000
0x05    |  11001
0x06    |  111000
0x07    |  1111000
0x08    |  111110100
0x09    |  1111110110
0x0a    |  111111110100
0x11    |  1011
0x12    |  111001
0x13    |  11110110
0x14    |  111110101
0x15    |  11111110110
0x16    |  111111110101
0x17    |  1111111110001000
0x18    |  1111111110001001
0x19    |  1111111110001010
0x1a    |  1111111110001011
0x21    |  11010
0x22    |  11110111
0x23    |  1111110111
0x24    |  111111110110
0x25    |  111111111000010
0x26    |  1111111110001100
0x27    |  1111111110001101
0x28    |  1111111110001110
0x29    |  1111111110001111
0x2a    |  1111111110010000
0x31    |  11011
0x32    |  11111000
0x33    |  1111111000
0x34    |  111111110111
0x35    |  1111111110010001
0x36    |  1111111110010010
0x37    |  1111111110010011
0x38    |  1111111110010100
0x39    |  1111111110010101
0x3a    |  1111111110010110
0x41    |  111010
0x42    |  111110110
0x43    |  1111111110010111
0x44    |  1111111110011000
0x45    |  1111111110011001
0x46    |  1111111110011010
0x47    |  1111111110011011
0x48    |  1111111110011100
0x49    |  1111111110011101
0x4a    |  1111111110011110
0x51    |  111011
0x52    |  1111111001
0x53    |  1111111110011111
0x54    |  1111111110100000
0x55    |  1111111110100001
0x56    |  1111111110100010
0x57    |  1111111110100011
0x58    |  1111111110100100
0x59    |  1111111110100101
0x5a    |  1111111110100110
0x61    |  1111001
0x62    |  11111110111
0x63    |  1111111110100111
0x64    |  1111111110101000
0x65    |  1111111110101001
0x66    |  1111111110101010
0x67    |  1111111110101011
0x68    |  1111111110101100
0x69    |  1111111110101101
0x6a    |  1111111110101110
0x71    |  1111010
0x72    |  11111111000
0x73    |  1111111110101111
0x74    |  1111111110110000
0x75    |  1111111110110001
0x76    |  1111111110110010
0x77    |  1111111110110011
0x78    |  1111111110110100
0x79    |  1111111110110101
0x7a    |  1111111110110110
0x81    |  11111001
0x82    |  1111111110110111
0x83    |  1111111110111000
0x84    |  1111111110111001
0x85    |  1111111110111010
0x86    |  1111111110111011
0x87    |  1111111110111100
0x88    |  1111111110111101
0x89    |  1111111110111110
0x8a    |  1111111110111111
0x91    |  111110111
0x92    |  1111111111000000
0x93    |  1111111111000001
0x94    |  1111111111000010
0x95    |  1111111111000011
0x96    |  1111111111000100
0x97    |  1111111111000101
0x98    |  1111111111000110
0x99    |  1111111111000111
0x9a    |  1111111111001000
0xa1    |  111111000
0xa2    |  1111111111001001
0xa3    |  1111111111001010
0xa4    |  1111111111001011
0xa5    |  1111111111001100
0xa6    |  1111111111001101
0xa7    |  1111111111001110
0xa8    |  1111111111001111
0xa9    |  1111111111010000
0xaa    |  1111111111010001
0xb1    |  111111001
0xb2    |  1111111111010010
0xb3    |  1111111111010011
0xb4    |  1111111111010100
0xb5    |  1111111111010101
0xb6    |  1111111111010110
0xb7    |  1111111111010111
0xb8    |  1111111111011000
0xb9    |  1111111111011001
0xba    |  1111111111011010
0xc1    |  111111010
0xc2    |  1111111111011011
0xc3    |  1111111111011100
0xc4    |  1111111111011101
0xc5    |  1111111111011110
0xc6    |  1111111111011111
0xc7    |  1111111111100000
0xc8    |  1111111111100001
0xc9    |  1111111111100010
0xca    |  1111111111100011
0xd1    |  11111111001
0xd2    |  1111111111100100
0xd3    |  1111111111100101
0xd4    |  1111111111100110
0xd5    |  1111111111100111
0xd6    |  1111111111101000
0xd7    |  1111111111101001
0xd8    |  1111111111101010
0xd9    |  1111111111101011
0xda    |  1111111111101100
0xe1    |  11111111100000
0xe2    |  1111111111101101
0xe3    |  1111111111101110
0xe4    |  1111111111101111
0xe5    |  1111111111110000
0xe6    |  1111111111110001
0xe7    |  1111111111110010
0xe8    |  1111111111110011
0xe9    |  1111111111110100
0xea    |  1111111111110101
0xf0    |  1111111010
0xf1    |  111111111000011
0xf2    |  1111111111110110
0xf3    |  1111111111110111
0xf4    |  1111111111111000
0xf5    |  1111111111111001
0xf6    |  1111111111111010
0xf7    |  1111111111111011
0xf8    |  1111111111111100
0xf9    |  1111111111111101
0xfa    |  1111111111111110
